subject_id	subject_no	subject_name	subject_load	subject_type_id	subject_category_id
	ACD03001	????? ??????????	3	2	1
	CMP03000-T	????? ?? ??????? - ????	3	2	1
	CMP03000-P	????? ?? ??????? - ????	3	2	2
	EEE13109-T	?????????? - ????	3	1	1
	EEE13109-P	?????????? - ????	3	1	2
	ACD13263	?????????	3	1	1
	EEE13106-T	??? ????? ?????? ?????? - ????	3	3	1
	EEE13106-P	??? ????? ?????? ?????? - ????	3	3	2
	EEE13107-T	????? ??????? ?????????? - ????	3	3	1
	EEE13107-P	????? ??????? ?????????? - ????	3	3	2
					
	ACD03000	????? ???????	3	2	1
	ACD03002	?????? ?? ????? ?????? ????????	3	2	1
	EEE33100-T	????? ????????? - ????	2	3	1
	EEE33100-P	????? ????????? - ????	1	3	2
	EEE13204-T	?????????? ????? - ????	2	1	1
	EEE13204-P	?????????? ????? - ????	1	1	2
	MEE01104	???? ?????	1	1	2
	EEE33100-T	????? ????????? - ????	2	3	1
	EEE33100-P	????? ????????? - ????	1	3	2
	EEE93100-T	????? ?? ??????? ??????????? - ????	2	3	1
	EEE93100-P	????? ?? ??????? ??????????? - ????	1	3	2
	BUS01144	????? ??????? I	1	2	2
					
	EEE13208-T	?????????? ????? - ????	2	3	1
	EEE13208-P	?????????? ????? - ????	1	3	2
	EEE62200-T	????? ??????? ??????? - ????	1	3	1
	EEE62200-P	????? ??????? ??????? - ????	1	3	2
	EEE93203-T	????? ?????????? ??????? - ????	2	3	1
	EEE93203-P	????? ?????????? ??????? - ????	1	3	2
	EEE93204-T	????? ????? ????? I - ????	2	3	1
	EEE93204-P	????? ????? ????? I - ????	1	3	2
	EEE93202-T	????? ??????? ?????????? - ????	2	3	1
	EEE93202-P	????? ??????? ?????????? - ????	1	3	2
	EEE02207	????? ?????? I	2	1	2
	BUS02245-T	????? ??????? II - ????	1	2	1
	BUS02245-P	????? ??????? II - ????	1	2	2
					
	EEE63209-T	????? ????? - ????	2	3	1
	EEE63209-P	????? ????? - ????	1	3	2
	EEE93205-T	????? ????? ?????? II - ????	2	3	1
	EEE93205-P	????? ????? ?????? II - ????	1	3	2
	EEE93206-T	????? ????? ????????? ???????? - ????	2	3	1
	EEE93206-P	????? ????? ????????? ???????? - ????	1	3	2
	EEE93207-T	????? ??????? ???????? - ????	2	3	1
	EEE93207-P	????? ??????? ???????? - ????	1	3	2
	EEE02208	????? ?????? II	2	1	2
	ACD03120	????? ?????	3	2	1
					
	CMP03000-T	????? ?? ??????? - ????	1	1	1
	CMP03000-P	????? ?? ??????? - ????	2	1	2
	ACD03000	????? ???????	3	2	1
	EEE13107-T	????? ??????? ?????????? - ????	2	3	1
	EEE13107-P	????? ??????? ?????????? - ????	2	3	2
	MEE23105-T	??????? ????????? ???????? - ????	2	3	1
	MEE23105-P	??????? ????????? ???????? - ????	1	3	2
					
	MEE01104	???? ?????	1	1	2
	MEE02106	????? ??????? ??????? ????????	2	3	2
	MEE01107	??????? ???????? ???????	1	1	1
	MEE63108-T	??????? ?????? ?? ????? ??????? ? ????? ?????? - ????	2	3	1
	MEE63108-P	??????? ?????? ?? ????? ??????? ? ????? ?????? - ????	1	3	2
	MEE52101-T	??????? ??????? - ????	1	3	1
	MEE52101-P	??????? ??????? - ????	1	3	2
	MEE52102-T	??????? ??????? - ????	1	3	1
	MEE52102-P	??????? ??????? - ????	1	3	2
	MEE52103	???? ??????? ???????? I	1	3	2
	EEE13111-T	?????????? ??????? I - ????	1	3	1
	EEE13111-P	?????????? ??????? I - ????	1	3	2
	ACD03120	????? ?????	3	2	1
	ACD12110	?????????	2	1	1
					
	ACD03001	????? ??????????	3	2	1
	MEE52204-T	??? ?????? ??????? - ????	1	2	1
	MEE52204-P	??? ?????? ??????? - ????	1	2	2
	MEE52205-T	??? ?????? ????? ?????? - ????	1	2	1
	MEE52205-P	??? ?????? ????? ?????? - ????	1	2	2
	MEE62209-T	????? ?????? ?? ??????? ?????? ?????? - ????	1	1	1
	MEE62209-P	????? ?????? ?? ??????? ?????? ?????? - ????	1	1	2
	EEE92210-T	????? ?? ??????? ??????????? ????????? - ????	1	1	1
	EEE92210-P	????? ?? ??????? ??????????? ????????? - ????	1	1	2
	EEE13207-T	?????????? ??????? II - ????	2	1	1
	EEE13207-P	?????????? ??????? II - ????	1	1	2
	ACD02109	?????? ????	2	1	1
	EEE12112-T	???????? - ????	1	1	1
	EEE12112-P	???????? - ????	1	1	2
	BUS01144	????? ??????? I	1	2	2
					
	ACD03002	?????? ?? ????? ?????? ????????	3	2	1
	EEE02203	????? ??????	2	1	2
	MEE42200-T	??????? ?????? ????? ?? ??????? ?????? ?????? - ????	1	1	1
	MEE42200-P	??????? ?????? ????? ?? ??????? ?????? ?????? - ????	1	1	2
	MEE53206-T	????? ?????? ??????? - ????	2	3	1
	MEE53206-P	????? ?????? ??????? - ????	1	3	2
	MEE51207	???? ??????? ???????? II	1	3	2
	MEE53208-T	??????? ??????? ???????? - ????	2	3	1
	MEE53208-P	??????? ??????? ???????? - ????	1	3	2
	MEE92211-T	????? ????? ??????? ?????? ?????? - ????	1	3	1
