room_type_id,room_type_name
1,غرفة دراسية تحتوي LCD
2,مختبر حاسوب
3,مختبر التداخل
4,مختبر الإلكترونيات
5,مختبر الكهرباء
6,مختبر الصيانة
7,مختبر الاتصالات
8,مختبر الفيزياء
9,مختبر التبريد
10,مختبر التحكم المنطقي PLC
11,مختبر الطاقة الشمسية
12,مختبر الأزياء
13,مختبر الأستديو الإذاعي
14,مختبر الاستديو التلفزيوني
15,مختبر الإيواء
16,مختبر الطعام
